sequence,scheduled_time_s,phase,goal_rad,goal_tick,tx_start_ns,tx_end_ns
0,0.000000000,center,0.000000000,2048,111825699532893,111825700954318
1,0.010000000,center,0.000000000,2048,111825709590632,111825710952979
2,0.020000000,center,0.000000000,2048,111825719592971,111825720952651
3,0.030000000,center,0.000000000,2048,111825729592645,111825730950776
4,0.040000000,center,0.000000000,2048,111825739592575,111825740954730
5,0.050000000,center,0.000000000,2048,111825749592020,111825750950656
6,0.060000000,center,0.000000000,2048,111825759592401,111825760953400
7,0.070000000,center,0.000000000,2048,111825769592357,111825770952487
8,0.080000000,center,0.000000000,2048,111825779592427,111825780955106
9,0.090000000,center,0.000000000,2048,111825789592352,111825790947684
10,0.100000000,center,0.000000000,2048,111825799592554,111825800954198
11,0.110000000,center,0.000000000,2048,111825809592990,111825810954192
12,0.120000000,center,0.000000000,2048,111825819592519,111825820949788
13,0.130000000,center,0.000000000,2048,111825829592189,111825830952099
14,0.140000000,center,0.000000000,2048,111825839591512,111825840947601
15,0.150000000,center,0.000000000,2048,111825849592270,111825850948908
16,0.160000000,center,0.000000000,2048,111825859592592,111825860944774
17,0.170000000,center,0.000000000,2048,111825869592096,111825870946191
18,0.180000000,center,0.000000000,2048,111825879590187,111825880950587
19,0.190000000,center,0.000000000,2048,111825889592229,111825890953458
20,0.200000000,center,0.000000000,2048,111825899592499,111825900949539
21,0.210000000,center,0.000000000,2048,111825909592257,111825910947996
22,0.220000000,center,0.000000000,2048,111825919590877,111825920947114
23,0.230000000,center,0.000000000,2048,111825929592395,111825930950229
24,0.240000000,center,0.000000000,2048,111825939592149,111825940952439
25,0.250000000,center,0.000000000,2048,111825949592882,111825950956010
26,0.260000000,center,0.000000000,2048,111825959592452,111825960951472
27,0.270000000,center,0.000000000,2048,111825969591811,111825970947504
28,0.280000000,center,0.000000000,2048,111825979591995,111825980948673
29,0.290000000,center,0.000000000,2048,111825989592232,111825990952293
30,0.300000000,center,0.000000000,2048,111825999593038,111826000952134
31,0.310000000,center,0.000000000,2048,111826009592095,111826010949142
32,0.320000000,center,0.000000000,2048,111826019592001,111826020952489
33,0.330000000,center,0.000000000,2048,111826029591905,111826030969514
34,0.340000000,center,0.000000000,2048,111826039594561,111826040956173
35,0.350000000,center,0.000000000,2048,111826049592413,111826050933155
36,0.360000000,center,0.000000000,2048,111826059593311,111826060933236
37,0.370000000,center,0.000000000,2048,111826069592318,111826070927842
38,0.380000000,center,0.000000000,2048,111826079592478,111826080929934
39,0.390000000,center,0.000000000,2048,111826089592183,111826090927977
40,0.400000000,center,0.000000000,2048,111826099592813,111826100928838
41,0.410000000,center,0.000000000,2048,111826109591412,111826110934818
42,0.420000000,center,0.000000000,2048,111826119592474,111826120928285
43,0.430000000,center,0.000000000,2048,111826129592217,111826130926393
44,0.440000000,center,0.000000000,2048,111826139592406,111826140934408
45,0.450000000,center,0.000000000,2048,111826149592116,111826150928470
46,0.460000000,center,0.000000000,2048,111826159592899,111826160932012
47,0.470000000,center,0.000000000,2048,111826169592365,111826170928316
48,0.480000000,center,0.000000000,2048,111826179592257,111826180928560
49,0.490000000,center,0.000000000,2048,111826189592214,111826190929624
50,0.500000000,center,0.000000000,2048,111826199592253,111826200933003
51,0.510000000,center,0.000000000,2048,111826209592337,111826210932266
52,0.520000000,center,0.000000000,2048,111826219592492,111826220929531
53,0.530000000,center,0.000000000,2048,111826229592435,111826230930998
54,0.540000000,center,0.000000000,2048,111826239592865,111826240933008
55,0.550000000,center,0.000000000,2048,111826249592130,111826250932988
56,0.560000000,center,0.000000000,2048,111826259591953,111826260931911
57,0.570000000,center,0.000000000,2048,111826269593490,111826270929617
58,0.580000000,center,0.000000000,2048,111826279592292,111826280927645
59,0.590000000,center,0.000000000,2048,111826289592168,111826290927363
60,0.600000000,center,0.000000000,2048,111826299592868,111826300931783
61,0.610000000,center,0.000000000,2048,111826309592493,111826310929349
62,0.620000000,center,0.000000000,2048,111826319592649,111826320927760
63,0.630000000,center,0.000000000,2048,111826329592396,111826330934941
64,0.640000000,center,0.000000000,2048,111826339594633,111826340938470
65,0.650000000,center,0.000000000,2048,111826349593333,111826350932526
66,0.660000000,center,0.000000000,2048,111826359591910,111826360932856
67,0.670000000,center,0.000000000,2048,111826369591996,111826370932086
68,0.680000000,center,0.000000000,2048,111826379592065,111826380928940
69,0.690000000,center,0.000000000,2048,111826389591964,111826390927073
70,0.700000000,center,0.000000000,2048,111826399592336,111826400924602
71,0.710000000,center,0.000000000,2048,111826409592395,111826410927507
72,0.720000000,center,0.000000000,2048,111826419592864,111826420930976
73,0.730000000,center,0.000000000,2048,111826429592333,111826430931484
74,0.740000000,center,0.000000000,2048,111826439592525,111826440930684
75,0.750000000,center,0.000000000,2048,111826449592037,111826450934203
76,0.760000000,center,0.000000000,2048,111826459591583,111826460932416
77,0.770000000,center,0.000000000,2048,111826469591656,111826470926643
78,0.780000000,center,0.000000000,2048,111826479592291,111826480912351
79,0.790000000,center,0.000000000,2048,111826489592265,111826490927577
80,0.800000000,center,0.000000000,2048,111826499592154,111826500929400
81,0.810000000,center,0.000000000,2048,111826509592369,111826510909007
82,0.820000000,center,0.000000000,2048,111826519592844,111826520912204
83,0.830000000,center,0.000000000,2048,111826529592326,111826530916067
84,0.840000000,center,0.000000000,2048,111826539592513,111826540911856
85,0.850000000,center,0.000000000,2048,111826549592419,111826550906131
86,0.860000000,center,0.000000000,2048,111826559591701,111826560906621
87,0.870000000,center,0.000000000,2048,111826569592246,111826570908991
88,0.880000000,center,0.000000000,2048,111826579592340,111826580905824
89,0.890000000,center,0.000000000,2048,111826589591942,111826590905624
90,0.900000000,center,0.000000000,2048,111826599592191,111826600910002
91,0.910000000,center,0.000000000,2048,111826609592311,111826610908374
92,0.920000000,center,0.000000000,2048,111826619592466,111826620912295
93,0.930000000,center,0.000000000,2048,111826629592581,111826630908540
