sequence,scheduled_time_s,phase,goal_rad,goal_tick,tx_start_ns,tx_end_ns
0,0.000000000,center,0.000000000,2048,111152651296437,111152652689970
1,0.010000000,center,0.000000000,2048,111152661355078,111152662679969
2,0.020000000,center,0.000000000,2048,111152671356207,111152672678575
3,0.030000000,center,0.000000000,2048,111152681355200,111152682676970
4,0.040000000,center,0.000000000,2048,111152691357981,111152692683236
5,0.050000000,center,0.000000000,2048,111152701356583,111152702726145
6,0.060000000,center,0.000000000,2048,111152711356814,111152712683674
7,0.070000000,center,0.000000000,2048,111152721355877,111152722685624
8,0.080000000,center,0.000000000,2048,111152731356270,111152732683850
9,0.090000000,center,0.000000000,2048,111152741354947,111152742682364
10,0.100000000,center,0.000000000,2048,111152751354880,111152752683614
11,0.110000000,center,0.000000000,2048,111152761358728,111152762684731
12,0.120000000,center,0.000000000,2048,111152771355936,111152772686566
13,0.130000000,center,0.000000000,2048,111152781356033,111152782684249
14,0.140000000,center,0.000000000,2048,111152791355277,111152792685082
15,0.150000000,center,0.000000000,2048,111152801355827,111152802690124
16,0.160000000,center,0.000000000,2048,111152811355246,111152812679247
17,0.170000000,center,0.000000000,2048,111152821355738,111152822683262
18,0.180000000,center,0.000000000,2048,111152831357027,111152832825687
19,0.190000000,center,0.000000000,2048,111152841434170,111152843690178
20,0.200000000,center,0.000000000,2048,111152851379538,111152853678142
21,0.210000000,center,0.000000000,2048,111152861438075,111152863671788
22,0.220000000,center,0.000000000,2048,111152871379678,111152873675824
23,0.230000000,center,0.000000000,2048,111152881375845,111152883680238
24,0.240000000,center,0.000000000,2048,111152891379427,111152893669170
25,0.250000000,center,0.000000000,2048,111152901377848,111152903663255
26,0.260000000,center,0.000000000,2048,111152911437355,111152913668706
27,0.270000000,center,0.000000000,2048,111152921434272,111152923663900
28,0.280000000,center,0.000000000,2048,111152931446470,111152933671593
29,0.290000000,center,0.000000000,2048,111152941380693,111152943671300
30,0.300000000,center,0.000000000,2048,111152951438748,111152953675527
31,0.310000000,center,0.000000000,2048,111152961433343,111152963671406
32,0.320000000,center,0.000000000,2048,111152971374678,111152973663502
33,0.330000000,center,0.000000000,2048,111152981372327,111152983672576
34,0.340000000,center,0.000000000,2048,111152991364450,111152992690211
35,0.350000000,center,0.000000000,2048,111153001356019,111153002702699
36,0.360000000,center,0.000000000,2048,111153011361468,111153012647742
37,0.370000000,center,0.000000000,2048,111153021357819,111153022653263
38,0.380000000,center,0.000000000,2048,111153031358357,111153032660756
39,0.390000000,center,0.000000000,2048,111153041360595,111153042687308
40,0.400000000,center,0.000000000,2048,111153051355410,111153052651832
41,0.410000000,center,0.000000000,2048,111153061355146,111153062661064
42,0.420000000,center,0.000000000,2048,111153071368551,111153073679747
43,0.430000000,center,0.000000000,2048,111153081356235,111153082660483
44,0.440000000,center,0.000000000,2048,111153091364625,111153092627732
45,0.450000000,center,0.000000000,2048,111153101363904,111153103626258
46,0.460000000,center,0.000000000,2048,111153111354275,111153112637524
47,0.470000000,center,0.000000000,2048,111153121365735,111153123624056
48,0.480000000,center,0.000000000,2048,111153131357584,111153132633490
49,0.490000000,center,0.000000000,2048,111153141358341,111153142634796
50,0.500000000,center,0.000000000,2048,111153151353920,111153152646266
51,0.510000000,center,0.000000000,2048,111153161356272,111153162651166
52,0.520000000,center,0.000000000,2048,111153171356318,111153172657646
53,0.530000000,center,0.000000000,2048,111153181356265,111153182672672
54,0.540000000,center,0.000000000,2048,111153191354097,111153192653934
55,0.550000000,center,0.000000000,2048,111153201353706,111153202655581
56,0.560000000,center,0.000000000,2048,111153211353609,111153212654878
57,0.570000000,center,0.000000000,2048,111153221356517,111153222679573
58,0.580000000,center,0.000000000,2048,111153231356117,111153232659885
59,0.590000000,center,0.000000000,2048,111153241362089,111153242640588
60,0.600000000,center,0.000000000,2048,111153251354937,111153252656408
61,0.610000000,center,0.000000000,2048,111153261356612,111153262636415
62,0.620000000,center,0.000000000,2048,111153271354034,111153272635249
63,0.630000000,center,0.000000000,2048,111153281353765,111153282635935
64,0.640000000,center,0.000000000,2048,111153291356102,111153292631830
65,0.650000000,center,0.000000000,2048,111153301368296,111153303643815
66,0.660000000,center,0.000000000,2048,111153311355995,111153312635987
67,0.670000000,center,0.000000000,2048,111153321362753,111153322621600
68,0.680000000,center,0.000000000,2048,111153331358198,111153332669025
69,0.690000000,center,0.000000000,2048,111153341365734,111153343617985
70,0.700000000,center,0.000000000,2048,111153351361968,111153352629488
71,0.710000000,center,0.000000000,2048,111153361357401,111153362634163
72,0.720000000,center,0.000000000,2048,111153371368882,111153372619512
73,0.730000000,center,0.000000000,2048,111153381359114,111153382629390
