host_time_ns,tx_start_ns,tx_end_ns,rx_end_ns,cycle_index,time_s,phase,acquisition_kind,overrun_ns,q_cmd_rad,goal_position_tick,q_present_rad,present_position_tick,dq_present_rad_s,present_velocity_raw,current_A_joint,present_current_raw,pwm_percent,present_pwm_raw,position_trajectory_rad,position_trajectory_tick,velocity_trajectory_rad_s,velocity_trajectory_raw,input_voltage_V,temperature_C,realtime_tick_ms,moving,moving_status,hardware_error
111152654779326,111152651296437,111152652689970,111152654779326,0,0.000000000,center,state,0,0.000000000,2048,0.000000000,2048,0.000000000,0,0.000000000,0,0.000000,0,0.000000000,2048,0.000000000,0,12.500,38,11497,0,1,
111152664759497,111152661355078,111152662679969,111152664759497,1,0.010000000,center,state,0,0.000000000,2048,0.000000000,2048,0.000000000,0,0.000000000,0,0.113000,-1,0.000000000,2048,0.000000000,0,12.500,38,11507,0,1,
111152674761350,111152671356207,111152672678575,111152674761350,2,0.020000000,center,state,0,0.000000000,2048,0.000000000,2048,0.000000000,0,0.000000000,0,0.113000,-1,0.000000000,2048,0.000000000,0,12.500,38,11517,0,1,
111152684761155,111152681355200,111152682676970,111152684761155,3,0.030000000,center,state,0,0.000000000,2048,0.000000000,2048,0.000000000,0,-0.003360000,1,0.226000,-2,0.000000000,2048,0.000000000,0,12.500,38,11527,0,1,
111152694755955,111152691357981,111152692683236,111152694755955,4,0.040000000,center,state,0,0.000000000,2048,0.000000000,2048,0.000000000,0,0.000000000,0,0.113000,-1,0.000000000,2048,0.000000000,0,12.500,38,11537,0,1,
111152704791547,111152701356583,111152702726145,111152704791547,5,0.050000000,center,state,0,0.000000000,2048,0.000000000,2048,0.000000000,0,0.000000000,0,0.113000,-1,0.000000000,2048,0.000000000,0,12.500,38,11547,0,1,
111152714755681,111152711356814,111152712683674,111152714755681,6,0.060000000,center,state,0,0.000000000,2048,0.000000000,2048,0.000000000,0,0.000000000,0,0.113000,-1,0.000000000,2048,0.000000000,0,12.500,38,11557,0,1,
111152724772014,111152721355877,111152722685624,111152724772014,7,0.070000000,center,state,0,0.000000000,2048,0.000000000,2048,0.000000000,0,0.000000000,0,0.226000,-2,0.000000000,2048,0.000000000,0,12.500,38,11567,0,1,
111152734765629,111152731356270,111152732683850,111152734765629,8,0.080000000,center,state,0,0.000000000,2048,0.000000000,2048,0.000000000,0,0.000000000,0,0.000000,0,0.000000000,2048,0.000000000,0,12.500,38,11577,0,1,
111152744771111,111152741354947,111152742682364,111152744771111,9,0.090000000,center,state,0,0.000000000,2048,0.000000000,2048,0.000000000,0,0.000000000,0,0.113000,-1,0.000000000,2048,0.000000000,0,12.500,38,11587,0,1,
111152754760824,111152751354880,111152752683614,111152754760824,10,0.100000000,center,state,0,0.000000000,2048,0.000000000,2048,0.000000000,0,0.000000000,0,0.226000,-2,0.000000000,2048,0.000000000,0,12.500,38,11597,0,1,
111152764776591,111152761358728,111152762684731,111152764776591,11,0.110000000,center,state,0,0.000000000,2048,0.000000000,2048,0.000000000,0,0.000000000,0,0.226000,-2,0.000000000,2048,0.000000000,0,12.500,38,11607,0,1,
111152774774705,111152771355936,111152772686566,111152774774705,12,0.120000000,center,state,0,0.000000000,2048,0.000000000,2048,0.000000000,0,0.000000000,0,0.113000,-1,0.000000000,2048,0.000000000,0,12.500,38,11617,0,1,
111152784763402,111152781356033,111152782684249,111152784763402,13,0.130000000,center,state,0,0.000000000,2048,0.000000000,2048,0.000000000,0,0.000000000,0,0.113000,-1,0.000000000,2048,0.000000000,0,12.500,38,11627,0,1,
111152794765382,111152791355277,111152792685082,111152794765382,14,0.140000000,center,state,0,0.000000000,2048,0.000000000,2048,0.000000000,0,0.000000000,0,0.113000,-1,0.000000000,2048,0.000000000,0,12.500,38,11637,0,1,
111152804766830,111152801355827,111152802690124,111152804766830,15,0.150000000,center,state,0,0.000000000,2048,0.000000000,2048,0.000000000,0,0.000000000,0,0.113000,-1,0.000000000,2048,0.000000000,0,12.500,38,11647,0,1,
111152814769392,111152811355246,111152812679247,111152814769392,16,0.160000000,center,state,0,0.000000000,2048,0.000000000,2048,0.000000000,0,0.000000000,0,0.000000,0,0.000000000,2048,0.000000000,0,12.500,38,11657,0,1,
