sequence,scheduled_time_s,phase,goal_rad,goal_tick,tx_start_ns,tx_end_ns
0,0.000000000,center,0.000000000,2048,113349037034769,113349038498488
1,0.010000000,center,0.000000000,2048,113349047094931,113349048494928
2,0.020000000,center,0.000000000,2048,113349057095074,113349058488269
3,0.030000000,center,0.000000000,2048,113349067094816,113349068489201
4,0.040000000,center,0.000000000,2048,113349077094946,113349078489194
5,0.050000000,center,0.000000000,2048,113349087094900,113349088486083
6,0.060000000,center,0.000000000,2048,113349097094660,113349098486795
7,0.070000000,center,0.000000000,2048,113349107093956,113349108492811
8,0.080000000,center,0.000000000,2048,113349117094181,113349118486391
9,0.090000000,center,0.000000000,2048,113349127094034,113349128492623
10,0.100000000,center,0.000000000,2048,113349137094413,113349138488705
11,0.110000000,center,0.000000000,2048,113349147093282,113349148487125
12,0.120000000,center,0.000000000,2048,113349157094692,113349158489054
13,0.130000000,center,0.000000000,2048,113349167095201,113349168486990
14,0.140000000,center,0.000000000,2048,113349177094197,113349178489378
15,0.150000000,center,0.000000000,2048,113349187099125,113349188491892
16,0.160000000,center,0.000000000,2048,113349197097190,113349198489613
17,0.170000000,center,0.000000000,2048,113349207094698,113349208485601
18,0.180000000,center,0.000000000,2048,113349217094727,113349218490128
19,0.190000000,center,0.000000000,2048,113349227094595,113349228489467
20,0.200000000,center,0.000000000,2048,113349237094355,113349238487084
21,0.210000000,center,0.000000000,2048,113349247093451,113349248471006
22,0.220000000,center,0.000000000,2048,113349257093811,113349258468227
23,0.230000000,center,0.000000000,2048,113349267094667,113349268465870
24,0.240000000,center,0.000000000,2048,113349277094320,113349278466716
25,0.250000000,center,0.000000000,2048,113349287097247,113349288469678
26,0.260000000,center,0.000000000,2048,113349297094748,113349298468391
27,0.270000000,center,0.000000000,2048,113349307094719,113349308467344
28,0.280000000,center,0.000000000,2048,113349317094543,113349318466195
29,0.290000000,center,0.000000000,2048,113349327093916,113349328467761
30,0.300000000,center,0.000000000,2048,113349337094375,113349338467383
31,0.310000000,center,0.000000000,2048,113349347093706,113349348466808
32,0.320000000,center,0.000000000,2048,113349357093438,113349358466203
33,0.330000000,center,0.000000000,2048,113349367094483,113349368469901
34,0.340000000,center,0.000000000,2048,113349377094196,113349378466969
35,0.350000000,center,0.000000000,2048,113349387098031,113349388469273
36,0.360000000,center,0.000000000,2048,113349397095495,113349398469484
37,0.370000000,center,0.000000000,2048,113349407094867,113349408464355
38,0.380000000,center,0.000000000,2048,113349417094391,113349418467604
39,0.390000000,center,0.000000000,2048,113349427094826,113349428467865
40,0.400000000,center,0.000000000,2048,113349437094528,113349438464541
41,0.410000000,center,0.000000000,2048,113349447094245,113349448467926
42,0.420000000,center,0.000000000,2048,113349457094346,113349458465226
43,0.430000000,center,0.000000000,2048,113349467093882,113349468467809
44,0.440000000,center,0.000000000,2048,113349477093981,113349478469809
45,0.450000000,center,0.000000000,2048,113349487097509,113349488475726
46,0.460000000,center,0.000000000,2048,113349497096281,113349498470241
47,0.470000000,center,0.000000000,2048,113349507095208,113349508468235
48,0.480000000,center,0.000000000,2048,113349517094769,113349518464450
49,0.490000000,center,0.000000000,2048,113349527094254,113349528463512
50,0.500000000,center,0.000000000,2048,113349537094067,113349538466871
51,0.510000000,center,0.000000000,2048,113349547094091,113349548466757
52,0.520000000,center,0.000000000,2048,113349557094754,113349558467639
53,0.530000000,center,0.000000000,2048,113349567094184,113349568473538
54,0.540000000,center,0.000000000,2048,113349577093673,113349578462690
55,0.550000000,center,0.000000000,2048,113349587096710,113349588470582
56,0.560000000,center,0.000000000,2048,113349597094592,113349598466174
57,0.570000000,center,0.000000000,2048,113349607095104,113349608469742
58,0.580000000,center,0.000000000,2048,113349617094496,113349618467346
59,0.590000000,center,0.000000000,2048,113349627094830,113349628468046
60,0.600000000,center,0.000000000,2048,113349637094762,113349638465744
61,0.610000000,center,0.000000000,2048,113349647094006,113349648466767
62,0.620000000,center,0.000000000,2048,113349657094939,113349658464921
63,0.630000000,center,0.000000000,2048,113349667094296,113349668445051
64,0.640000000,center,0.000000000,2048,113349677095014,113349678446734
65,0.650000000,center,0.000000000,2048,113349687096877,113349688453703
66,0.660000000,center,0.000000000,2048,113349697097714,113349698454496
67,0.670000000,center,0.000000000,2048,113349707177691,113349709476888
68,0.680000000,center,0.000000000,2048,113349717172408,113349719472470
69,0.690000000,center,0.000000000,2048,113349727176577,113349729458368
70,0.700000000,center,0.000000000,2048,113349737173798,113349739471258
71,0.710000000,center,0.000000000,2048,113349747171107,113349749466654
72,0.720000000,center,0.000000000,2048,113349757173720,113349759452972
73,0.730000000,center,0.000000000,2048,113349767180808,113349769469582
74,0.740000000,center,0.000000000,2048,113349777180412,113349779470329
75,0.750000000,center,0.000000000,2048,113349787175816,113349789454852
76,0.760000000,center,0.000000000,2048,113349797176662,113349799469295
77,0.770000000,center,0.000000000,2048,113349807174001,113349809452402
78,0.780000000,center,0.000000000,2048,113349817170644,113349819468719
79,0.790000000,center,0.000000000,2048,113349827171660,113349829470703
80,0.800000000,center,0.000000000,2048,113349837170936,113349839452710
81,0.810000000,center,0.000000000,2048,113349847171787,113349849464139
82,0.820000000,center,0.000000000,2048,113349857177280,113349859454761
83,0.830000000,center,0.000000000,2048,113349867173957,113349869448623
84,0.840000000,center,0.000000000,2048,113349877172443,113349879452068
85,0.850000000,center,0.000000000,2048,113349887176679,113349889454170
86,0.860000000,center,0.000000000,2048,113349897173523,113349899452999
87,0.870000000,center,0.000000000,2048,113349907096011,113349908448960
88,0.880000000,center,0.000000000,2048,113349917094668,113349918444738
