host_time_ns,tx_start_ns,tx_end_ns,rx_end_ns,cycle_index,time_s,phase,acquisition_kind,overrun_ns,q_cmd_rad,goal_position_tick,q_present_rad,present_position_tick,dq_present_rad_s,present_velocity_raw,current_A_joint,present_current_raw,pwm_percent,present_pwm_raw,position_trajectory_rad,position_trajectory_tick,velocity_trajectory_rad_s,velocity_trajectory_raw,input_voltage_V,temperature_C,realtime_tick_ms,moving,moving_status,hardware_error
114293829065634,114293826608030,114293827961949,114293829065634,0,0.000000000,center,state,0,0.000000000,2048,0.000000000,2048,0.000000000,0,0.003360000,-1,1.243000,-11,0.000000000,2048,0.000000000,0,12.400,34,30954,0,1,
114293839072234,114293836668793,114293837906108,114293839072234,1,0.010000000,center,state,0,0.000000000,2048,0.000000000,2048,0.000000000,0,0.003360000,-1,1.243000,-11,0.000000000,2048,0.000000000,0,12.400,34,30964,0,1,
114293849064545,114293846666955,114293847963912,114293849064545,2,0.020000000,center,state,0,0.000000000,2048,0.000000000,2048,0.000000000,0,0.000000000,0,0.904000,-8,0.000000000,2048,0.000000000,0,12.400,34,30974,0,1,
114293859076681,114293856667183,114293857958116,114293859076681,3,0.030000000,center,state,0,0.000000000,2048,0.000000000,2048,0.000000000,0,0.000000000,0,0.904000,-8,0.000000000,2048,0.000000000,0,12.400,34,30984,0,1,
114293869051340,114293866667416,114293867979447,114293869051340,4,0.040000000,center,state,0,0.000000000,2048,-0.001533981,2049,0.000000000,0,0.000000000,0,1.017000,-9,0.000000000,2048,0.000000000,0,12.400,34,30995,0,1,
114293879077325,114293876668165,114293877958832,114293879077325,5,0.050000000,center,state,0,0.000000000,2048,0.000000000,2048,0.000000000,0,0.000000000,0,1.017000,-9,0.000000000,2048,0.000000000,0,12.400,34,31004,0,1,
114293889078199,114293886667751,114293887957504,114293889078199,6,0.060000000,center,state,0,0.000000000,2048,0.000000000,2048,0.000000000,0,0.003360000,-1,1.017000,-9,0.000000000,2048,0.000000000,0,12.400,34,31014,0,1,
114293899061632,114293896666363,114293897955691,114293899061632,7,0.070000000,center,state,0,0.000000000,2048,0.000000000,2048,0.000000000,0,0.003360000,-1,1.130000,-10,0.000000000,2048,0.000000000,0,12.400,34,31024,0,1,
114293909070663,114293906668480,114293907959123,114293909070663,8,0.080000000,center,state,0,0.000000000,2048,-0.001533981,2049,0.000000000,0,0.000000000,0,0.904000,-8,0.000000000,2048,0.000000000,0,12.400,34,31034,0,1,
114293919073199,114293916667186,114293917954761,114293919073199,9,0.090000000,center,state,0,0.000000000,2048,0.000000000,2048,0.000000000,0,0.000000000,0,1.017000,-9,0.000000000,2048,0.000000000,0,12.400,34,31044,0,1,
114293929079389,114293926668438,114293927957938,114293929079389,10,0.100000000,center,state,0,0.000000000,2048,0.000000000,2048,0.000000000,0,0.000000000,0,1.017000,-9,0.000000000,2048,0.000000000,0,12.400,34,31054,0,1,
114293939072569,114293936669278,114293937958833,114293939072569,11,0.110000000,center,state,0,0.000000000,2048,0.000000000,2048,0.000000000,0,0.003360000,-1,1.130000,-10,0.000000000,2048,0.000000000,0,12.400,34,31064,0,1,
114293949072206,114293946667949,114293947958659,114293949072206,12,0.120000000,center,state,0,0.000000000,2048,-0.001533981,2049,0.000000000,0,0.006720000,-2,1.017000,-9,0.000000000,2048,0.000000000,0,12.400,34,31074,0,1,
114293959048753,114293956667378,114293957960837,114293959048753,13,0.130000000,center,state,0,0.000000000,2048,0.000000000,2048,0.000000000,0,0.000000000,0,1.017000,-9,0.000000000,2048,0.000000000,0,12.400,34,31084,0,1,
114293969075085,114293966667543,114293967979688,114293969075085,14,0.140000000,center,state,0,0.000000000,2048,0.000000000,2048,0.000000000,0,0.003360000,-1,1.130000,-10,0.000000000,2048,0.000000000,0,12.400,34,31094,0,1,
114293979083086,114293976667808,114293977963203,114293979083086,15,0.150000000,center,state,0,0.000000000,2048,0.000000000,2048,0.000000000,0,0.003360000,-1,0.904000,-8,0.000000000,2048,0.000000000,0,12.400,34,31104,0,1,
114293989071657,114293986667845,114293987958633,114293989071657,16,0.160000000,center,state,0,0.000000000,2048,0.000000000,2048,0.000000000,0,0.006720000,-2,1.130000,-10,0.000000000,2048,0.000000000,0,12.400,34,31114,0,1,
114293999084803,114293996666888,114293997959701,114293999084803,17,0.170000000,center,state,0,0.000000000,2048,0.000000000,2048,0.000000000,0,0.000000000,0,0.904000,-8,0.000000000,2048,0.000000000,0,12.400,34,31124,0,1,
114294009049922,114294006668607,114294007956174,114294009049922,18,0.180000000,center,state,0,0.000000000,2048,0.000000000,2048,0.000000000,0,0.000000000,0,1.017000,-9,0.000000000,2048,0.000000000,0,12.400,34,31134,0,1,
114294019064100,114294016668172,114294017990205,114294019064100,19,0.190000000,center,state,0,0.000000000,2048,0.000000000,2048,0.000000000,0,0.000000000,0,1.017000,-9,0.000000000,2048,0.000000000,0,12.400,34,31144,0,1,
114294029063647,114294026668011,114294027970407,114294029063647,20,0.200000000,center,state,0,0.000000000,2048,0.000000000,2048,0.000000000,0,0.000000000,0,0.904000,-8,0.000000000,2048,0.000000000,0,12.400,34,31154,0,1,
114294039057756,114294036667852,114294037955345,114294039057756,21,0.210000000,center,state,0,0.000000000,2048,0.000000000,2048,0.000000000,0,0.000000000,0,1.017000,-9,0.000000000,2048,0.000000000,0,12.400,34,31164,0,1,
114294049070050,114294046667240,114294047957794,114294049070050,22,0.220000000,center,state,0,0.000000000,2048,0.000000000,2048,0.000000000,0,0.000000000,0,1.017000,-9,0.000000000,2048,0.000000000,0,12.400,34,31174,0,1,
114294059060884,114294056667524,114294057958332,114294059060884,23,0.230000000,center,state,0,0.000000000,2048,0.000000000,2048,0.000000000,0,0.000000000,0,0.904000,-8,0.000000000,2048,0.000000000,0,12.400,34,31184,0,1,
114294069071094,114294066669580,114294067958545,114294069071094,24,0.240000000,center,state,0,0.000000000,2048,-0.001533981,2049,0.000000000,0,0.000000000,0,0.904000,-8,0.000000000,2048,0.000000000,0,12.400,34,31194,0,1,
114294079073724,114294076667475,114294077953514,114294079073724,25,0.250000000,center,state,0,0.000000000,2048,0.000000000,2048,0.000000000,0,0.000000000,0,1.017000,-9,0.000000000,2048,0.000000000,0,12.400,34,31204,0,1,
114294089053690,114294086667838,114294087954005,114294089053690,26,0.260000000,center,state,0,0.000000000,2048,0.000000000,2048,0.000000000,0,0.003360000,-1,1.243000,-11,0.000000000,2048,0.000000000,0,12.400,34,31214,0,1,
114294099076336,114294096666946,114294097958826,114294099076336,27,0.270000000,center,state,0,0.000000000,2048,0.000000000,2048,0.000000000,0,0.000000000,0,0.904000,-8,0.000000000,2048,0.000000000,0,12.400,34,31224,0,1,
114294109069883,114294106667435,114294107960638,114294109069883,28,0.280000000,center,state,0,0.000000000,2048,-0.001533981,2049,0.000000000,0,0.000000000,0,1.017000,-9,0.000000000,2048,0.000000000,0,12.400,34,31234,0,1,
114294119070273,114294116669648,114294117959275,114294119070273,29,0.290000000,center,state,0,0.000000000,2048,0.000000000,2048,0.000000000,0,0.003360000,-1,1.130000,-10,0.000000000,2048,0.000000000,0,12.400,34,31244,0,1,
114294129039964,114294126667272,114294127904865,114294129039964,30,0.300000000,center,state,0,0.000000000,2048,0.000000000,2048,0.000000000,0,0.000000000,0,1.017000,-9,0.000000000,2048,0.000000000,0,12.400,34,31254,0,1,
114294139062591,114294136667610,114294137957421,114294139062591,31,0.310000000,center,state,0,0.000000000,2048,0.000000000,2048,0.000000000,0,0.000000000,0,0.904000,-8,0.000000000,2048,0.000000000,0,12.400,34,31264,0,1,
114294149026816,114294146667109,114294147958099,114294149026816,32,0.320000000,center,state,0,0.000000000,2048,0.000000000,2048,0.000000000,0,0.000000000,0,0.904000,-8,0.000000000,2048,0.000000000,0,12.400,34,31274,0,1,
114294159051268,114294156667304,114294157962278,114294159051268,33,0.330000000,center,state,0,0.000000000,2048,0.000000000,2048,0.000000000,0,0.000000000,0,0.904000,-8,0.000000000,2048,0.000000000,0,12.400,34,31284,0,1,
114294169034790,114294166669756,114294167944866,114294169034790,34,0.340000000,center,state,0,0.000000000,2048,0.000000000,2048,0.000000000,0,0.003360000,-1,1.017000,-9,0.000000000,2048,0.000000000,0,12.400,34,31294,0,1,
114294179026735,114294176668834,114294177954153,114294179026735,35,0.350000000,center,state,0,0.000000000,2048,0.000000000,2048,0.000000000,0,0.000000000,0,0.904000,-8,0.000000000,2048,0.000000000,0,12.400,34,31304,0,1,
114294189036437,114294186667841,114294187952573,114294189036437,36,0.360000000,center,state,0,0.000000000,2048,0.000000000,2048,0.000000000,0,0.003360000,-1,1.130000,-10,0.000000000,2048,0.000000000,0,12.400,34,31314,0,1,
114294199035255,114294196667537,114294197958443,114294199035255,37,0.370000000,center,state,0,0.000000000,2048,0.000000000,2048,0.000000000,0,0.003360000,-1,1.243000,-11,0.000000000,2048,0.000000000,0,12.400,34,31324,0,1,
114294209035448,114294206668412,114294207936231,114294209035448,38,0.380000000,center,state,0,0.000000000,2048,0.000000000,2048,0.000000000,0,0.000000000,0,0.904000,-8,0.000000000,2048,0.000000000,0,12.400,34,31334,0,1,
114294219036874,114294216670375,114294217955398,114294219036874,39,0.390000000,center,state,0,0.000000000,2048,-0.001533981,2049,0.000000000,0,0.003360000,-1,1.017000,-9,0.000000000,2048,0.000000000,0,12.400,34,31344,0,1,
114294229038450,114294226667962,114294227940059,114294229038450,40,0.400000000,center,state,0,0.000000000,2048,0.000000000,2048,0.000000000,0,0.000000000,0,1.017000,-9,0.000000000,2048,0.000000000,0,12.400,34,31354,0,1,
114294239035538,114294236667579,114294237938284,114294239035538,41,0.410000000,center,state,0,0.000000000,2048,0.000000000,2048,0.000000000,0,0.000000000,0,1.017000,-9,0.000000000,2048,0.000000000,0,12.400,34,31364,0,1,
114294249032044,114294246667348,114294247945979,114294249032044,42,0.420000000,center,state,0,0.000000000,2048,0.000000000,2048,0.000000000,0,0.000000000,0,1.017000,-9,0.000000000,2048,0.000000000,0,12.400,34,31374,0,1,
114294259026002,114294256667375,114294257932314,114294259026002,43,0.430000000,center,state,0,0.000000000,2048,-0.001533981,2049,0.000000000,0,0.000000000,0,0.904000,-8,0.000000000,2048,0.000000000,0,12.400,34,31384,0,1,
114294269031552,114294266669405,114294267941217,114294269031552,44,0.440000000,center,state,0,0.000000000,2048,0.000000000,2048,0.000000000,0,0.000000000,0,0.904000,-8,0.000000000,2048,0.000000000,0,12.400,34,31394,0,1,
114294279040351,114294276667128,114294277935398,114294279040351,45,0.450000000,center,state,0,0.000000000,2048,-0.001533981,2049,0.000000000,0,0.000000000,0,0.904000,-8,0.000000000,2048,0.000000000,0,12.400,34,31404,0,1,
114294288966293,114294286667981,114294287942200,114294288966293,46,0.460000000,center,state,0,0.000000000,2048,0.000000000,2048,0.000000000,0,0.000000000,0,1.017000,-9,0.000000000,2048,0.000000000,0,12.400,34,31414,0,1,
114294299037030,114294296667148,114294297937737,114294299037030,47,0.470000000,center,state,0,0.000000000,2048,-0.001533981,2049,0.000000000,0,0.003360000,-1,1.130000,-10,0.000000000,2048,0.000000000,0,12.400,34,31424,0,1,
114294309033997,114294306667989,114294307934807,114294309033997,48,0.480000000,center,state,0,0.000000000,2048,0.000000000,2048,0.000000000,0,0.000000000,0,0.904000,-8,0.000000000,2048,0.000000000,0,12.400,34,31434,0,1,
114294319036973,114294316669413,114294317937193,114294319036973,49,0.490000000,center,state,0,0.000000000,2048,0.000000000,2048,0.000000000,0,0.010080000,-3,1.130000,-10,0.000000000,2048,0.000000000,0,12.400,34,31444,0,1,
114294329031229,114294326667330,114294327939582,114294329031229,50,0.500000000,center,state,0,0.000000000,2048,-0.001533981,2049,0.000000000,0,0.000000000,0,1.017000,-9,0.000000000,2048,0.000000000,0,12.400,34,31454,0,1,
114294339038755,114294336667099,114294337937434,114294339038755,51,0.510000000,center,state,0,0.000000000,2048,0.000000000,2048,0.000000000,0,0.000000000,0,1.017000,-9,0.000000000,2048,0.000000000,0,12.400,34,31464,0,1,
