sequence,scheduled_time_s,phase,goal_rad,goal_tick,tx_start_ns,tx_end_ns
0,0.000000000,center,0.000000000,2048,114185764906792,114185765329437
1,0.010000000,center,0.000000000,2048,114185774967351,114185775326940
2,0.020000000,center,0.000000000,2048,114185784973577,114185785335056
3,0.030000000,center,0.000000000,2048,114185794967666,114185795329254
4,0.040000000,center,0.000000000,2048,114185804970244,114185805327301
5,0.050000000,center,0.000000000,2048,114185814970016,114185815330148
6,0.060000000,center,0.000000000,2048,114185824969710,114185825328679
7,0.070000000,center,0.000000000,2048,114185834970942,114185835333378
8,0.080000000,center,0.000000000,2048,114185844967721,114185845327488
9,0.090000000,center,0.000000000,2048,114185854967197,114185855324796
10,0.100000000,center,0.000000000,2048,114185864966270,114185865330843
11,0.110000000,center,0.000000000,2048,114185874966637,114185875329806
12,0.120000000,center,0.000000000,2048,114185884970486,114185886342538
13,0.130000000,center,0.000000000,2048,114185894968467,114185895336681
14,0.140000000,center,0.000000000,2048,114185904969332,114185905345719
15,0.150000000,center,0.000000000,2048,114185914966830,114185915335334
16,0.160000000,center,0.000000000,2048,114185924967027,114185925339247
17,0.170000000,center,0.000000000,2048,114185934968811,114185935338960
18,0.180000000,center,0.000000000,2048,114185944965988,114185945340777
19,0.190000000,center,0.000000000,2048,114185954968041,114185955339737
20,0.200000000,center,0.000000000,2048,114185964969582,114185965337535
21,0.210000000,center,0.000000000,2048,114185974966822,114185975326265
22,0.220000000,center,0.000000000,2048,114185984968203,114185985335590
23,0.230000000,center,0.000000000,2048,114185994966436,114185995335425
24,0.240000000,center,0.000000000,2048,114186004978606,114186006332092
25,0.250000000,center,0.000000000,2048,114186014968832,114186015331219
26,0.260000000,center,0.000000000,2048,114186024968628,114186025331600
27,0.270000000,center,0.000000000,2048,114186034966970,114186035325796
28,0.280000000,center,0.000000000,2048,114186044967077,114186045325876
29,0.290000000,center,0.000000000,2048,114186054989982,114186056408133
30,0.300000000,center,0.000000000,2048,114186064988553,114186066366529
31,0.310000000,center,0.000000000,2048,114186074992562,114186076325443
32,0.320000000,center,0.000000000,2048,114186084979595,114186085290270
33,0.330000000,center,0.000000000,2048,114186094970008,114186095296273
34,0.340000000,center,0.000000000,2048,114186104972043,114186105317655
35,0.350000000,center,0.000000000,2048,114186114968136,114186115341556
36,0.360000000,center,0.000000000,2048,114186124970767,114186125322751
37,0.370000000,center,0.000000000,2048,114186134971115,114186136336093
38,0.380000000,center,0.000000000,2048,114186144966916,114186145317013
39,0.390000000,center,0.000000000,2048,114186154971928,114186156322498
40,0.400000000,center,0.000000000,2048,114186164970537,114186165318218
41,0.410000000,center,0.000000000,2048,114186174965429,114186175313274
42,0.420000000,center,0.000000000,2048,114186184967928,114186185315180
43,0.430000000,center,0.000000000,2048,114186194967498,114186195313279
44,0.440000000,center,0.000000000,2048,114186204971946,114186206320358
45,0.450000000,center,0.000000000,2048,114186214967221,114186215307300
46,0.460000000,center,0.000000000,2048,114186224967104,114186225313769
47,0.470000000,center,0.000000000,2048,114186234968475,114186235317081
48,0.480000000,center,0.000000000,2048,114186244967340,114186245303185
49,0.490000000,center,0.000000000,2048,114186254966451,114186255302859
50,0.500000000,center,0.000000000,2048,114186264968726,114186266314636
51,0.510000000,center,0.000000000,2048,114186274966404,114186275306301
52,0.520000000,center,0.000000000,2048,114186284967813,114186285266258
53,0.530000000,center,0.000000000,2048,114186294967247,114186295308497
54,0.540000000,center,0.000000000,2048,114186304975679,114186305275906
55,0.550000000,center,0.000000000,2048,114186314969334,114186315324754
56,0.560000000,center,0.000000000,2048,114186324975663,114186325324270
57,0.570000000,center,0.000000000,2048,114186334976898,114186336322898
58,0.580000000,center,0.000000000,2048,114186344968982,114186345312528
59,0.590000000,center,0.000000000,2048,114186354970115,114186356310984
60,0.600000000,center,0.000000000,2048,114186364969698,114186366374133
61,0.610000000,center,0.000000000,2048,114186374966563,114186375378031
62,0.620000000,center,0.000000000,2048,114186384969792,114186386383601
63,0.630000000,center,0.000000000,2048,114186394974314,114186396396374
64,0.640000000,center,0.000000000,2048,114186404970708,114186406325346
65,0.650000000,center,0.000000000,2048,114186414968161,114186415312264
66,0.660000000,center,0.000000000,2048,114186424966371,114186426384870
67,0.670000000,center,0.000000000,2048,114186434969434,114186436330575
68,0.680000000,center,0.000000000,2048,114186444969935,114186446333142
69,0.690000000,center,0.000000000,2048,114186454968374,114186456375565
70,0.700000000,center,0.000000000,2048,114186464969478,114186466376735
71,0.710000000,center,0.000000000,2048,114186474972564,114186475370156
72,0.720000000,center,0.000000000,2048,114186484967316,114186485276000
73,0.730000000,center,0.000000000,2048,114186494967298,114186496293516
74,0.740000000,center,0.000000000,2048,114186504967516,114186506286325
75,0.750000000,center,0.000000000,2048,114186514968080,114186516262404
76,0.760000000,center,0.000000000,2048,114186524980062,114186526281956
77,0.770000000,center,0.000000000,2048,114186534965856,114186535283565
78,0.780000000,center,0.000000000,2048,114186544978705,114186546272617
79,0.790000000,center,0.000000000,2048,114186554966665,114186555283473
80,0.800000000,center,0.000000000,2048,114186564967777,114186566284344
81,0.810000000,center,0.000000000,2048,114186574966197,114186575272923
