time_sec,goal_position_rad,input_voltage_V,torque_enable,m3_position_rad,m3_velocity_rad_s,m3_pwm_fraction,m3_current_A,m3_motor_torque_Nm,m3_friction_torque_Nm,m3_friction_limit_Nm
0.0,0.0,12.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.1717060794144954
0.001,0.0,12.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.1717060794144954
0.002,0.0,12.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.1717060794144954
0.003,0.0,12.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.1717060794144954
0.004,0.0,12.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.1717060794144954
0.005,0.0,12.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.1717060794144954
0.006,0.0,12.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.1717060794144954
0.007,0.0,12.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.1717060794144954
0.008,0.0,12.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.1717060794144954
0.009000000000000001,0.0,12.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.1717060794144954
0.01,-5.3829234625930794e-05,12.0,1,0.0,0.0,-0.0002267589556453056,-0.0011706733826206352,-0.00259441320859689,0.002334971887737201,0.17211442748660893
0.011,-5.3829234625930794e-05,12.0,1,-8.811382084661863e-09,-8.811382084661862e-06,-0.00022681614645116952,-0.0011625675120227113,-0.002576449207656377,0.0023433856389471564,0.17211159956758407
0.012,-5.3829234625930794e-05,12.0,1,-2.5538382958156082e-08,-1.672700087349422e-05,-0.0002268304047634408,-0.0011550940534176596,-0.0025598867402707734,0.0023505645357537763,0.17210899181887349
0.013000000000000001,-5.3829234625930794e-05,12.0,1,-4.9374870281424045e-08,-2.383648732326796e-05,-0.00022680608579511827,-0.0011481900334179985,-0.002544586246601531,0.00235663274567514,0.1721065823176434
0.014,-5.3829234625930794e-05,12.0,1,-7.959537640019786e-08,-3.0220506118773816e-05,-0.0002267471089871643,-0.0011417987777089485,-0.0025304221266366947,0.002361702014091709,0.17210435133394547
0.015,-5.3829234625930794e-05,12.0,1,-1.1554702901424162e-07,-3.595165261404376e-05,-0.00022665700160112736,-0.0011358692809213622,-0.0025172813437211302,0.002365872906896749,0.17210228111135184
0.016,-5.3829234625930794e-05,12.0,1,-1.566422890622848e-07,-4.109526004804317e-05,-0.00022653893795097509,-0.0011303556395394192,-0.0025050621677826144,0.0023692359288381916,0.17210035566953408
0.017,-5.3829234625930794e-05,12.0,1,-2.0235241507281297e-07,-4.571012601052818e-05,-0.00022639577471037027,-0.0011252165415374135,-0.0024936730442793272,0.002371872529987154,0.1720985606265914
