time_sec,goal_position_rad,input_voltage_V,torque_enable,m3_position_rad,m3_velocity_rad_s,m3_pwm_fraction,m3_current_A,m3_motor_torque_Nm,m3_friction_torque_Nm,m3_friction_limit_Nm
0.0,0.0,12.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.1717060794144954
0.001,0.0,12.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.1717060794144954
0.002,0.0,12.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.1717060794144954
0.003,0.0,12.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.1717060794144954
0.004,0.0,12.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.1717060794144954
0.005,0.0,12.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.1717060794144954
0.006,0.0,12.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.1717060794144954
0.007,0.0,12.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.1717060794144954
0.008,0.0,12.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.1717060794144954
0.009000000000000001,0.0,12.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.1717060794144954
0.01,0.013815700494469577,12.0,1,0.0,0.0,0.058199486531898305,0.3004626193095275,0.6658767507647924,-0.27651185458516836,0.27651185458516836
0.011,0.013815700494469577,12.0,1,1.3223964707028422e-05,0.013223964707028421,0.05828531747090926,0.28829747362900177,0.6389166993050002,-0.27226776426883664,0.27226776426883664
0.012,0.013815700494469577,12.0,1,3.8900546937121336e-05,0.025676582230092913,0.05831043517138939,0.27655432115096923,0.6128918572338724,-0.2681702039179085,0.2681702039179085
0.013000000000000001,0.013815700494469577,12.0,1,7.628532937994653e-05,0.03738478244282519,0.058278263770673085,0.2652251634178591,0.5877844985961787,-0.26421642345378643,0.26421642345378643
0.014,0.013815700494469577,12.0,1,0.00012466030736460048,0.048374977984653934,0.058192110605209,0.25430189212380855,0.5635766539940129,-0.26040363306545744,0.26040363306545744
0.015,0.013815700494469577,12.0,1,0.00018333336501229729,0.05867305764769679,0.05805516834651814,0.24377630644703457,0.5402501489983066,-0.2567290092833609,0.2567290092833609
0.016,0.013815700494469577,12.0,1,0.0002516377458681708,0.06830438085587351,0.0578705171720991,0.23364012952125734,0.5177866406523298,-0.25318970075323977,0.25318970075323977
0.017,0.013815700494469577,12.0,1,0.00032893151904973486,0.07729377318156404,0.05764112696632479,0.2238850240727217,0.49616765212601616,-0.24978283371918106,0.24978283371918106
0.018000000000000002,0.013815700494469577,12.0,1,0.00041459704189656814,0.08566552284683329,0.05736985954661575,0.21450260724898715,0.4753746055791068,-0.24650551722492026,0.24650551722492026
